model:HSVNet step: 50, loss: 0.221603, psnr: 0, ssim: 0, minute:0.38
model:HSVNet step: 100, loss: 0.202906, psnr: 0, ssim: 0, minute:0.67
model:HSVNet step: 150, loss: 0.212054, psnr: 0, ssim: 0, minute:0.95
model:HSVNet step: 200, loss: 0.217610, psnr: 0, ssim: 0, minute:1.24
model:HSVNet step: 250, loss: 0.227180, psnr: 0, ssim: 0, minute:1.52
model:HSVNet step: 300, loss: 0.175194, psnr: 0, ssim: 0, minute:1.81
model:HSVNet step: 350, loss: 0.162661, psnr: 0, ssim: 0, minute:2.10
model:HSVNet step: 400, loss: 0.122440, psnr: 0, ssim: 0, minute:2.39
model:HSVNet step: 450, loss: 0.148389, psnr: 0, ssim: 0, minute:2.69
model:HSVNet step: 500, loss: 0.156178, psnr: 0, ssim: 0, minute:2.98
model:HSVNet step: 550, loss: 0.183581, psnr: 0, ssim: 0, minute:3.27
model:HSVNet step: 600, loss: 0.219963, psnr: 0, ssim: 0, minute:3.56
model:HSVNet step: 650, loss: 0.190001, psnr: 0, ssim: 0, minute:3.86
model:HSVNet step: 700, loss: 0.162366, psnr: 0, ssim: 0, minute:4.15
model:HSVNet step: 750, loss: 0.212224, psnr: 0, ssim: 0, minute:4.44
model:HSVNet step: 800, loss: 0.119647, psnr: 0, ssim: 0, minute:4.74
model:HSVNet step: 850, loss: 0.168109, psnr: 0, ssim: 0, minute:5.03
model:HSVNet step: 900, loss: 0.158750, psnr: 0, ssim: 0, minute:5.33
model:HSVNet step: 950, loss: 0.129246, psnr: 0, ssim: 0, minute:5.63
model:HSVNet step: 1000, loss: 0.183226, psnr: 0, ssim: 0, minute:5.92
model:HSVNet step: 1050, loss: 0.173466, psnr: 0, ssim: 0, minute:6.21
model:HSVNet step: 1100, loss: 0.186363, psnr: 0, ssim: 0, minute:6.50
model:HSVNet step: 1150, loss: 0.167483, psnr: 0, ssim: 0, minute:6.80
model:HSVNet step: 1200, loss: 0.162538, psnr: 0, ssim: 0, minute:7.09
model:HSVNet step: 1250, loss: 0.253377, psnr: 0, ssim: 0, minute:7.38
model:HSVNet step: 1300, loss: 0.177390, psnr: 0, ssim: 0, minute:7.68
model:HSVNet step: 1350, loss: 0.178562, psnr: 0, ssim: 0, minute:7.97
model:HSVNet step: 1400, loss: 0.167146, psnr: 0, ssim: 0, minute:8.27
model:HSVNet step: 1450, loss: 0.159367, psnr: 0, ssim: 0, minute:8.56
model:HSVNet step: 1500, loss: 0.137537, psnr: 0, ssim: 0, minute:8.86
model:HSVNet step: 1550, loss: 0.170678, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:11.33
model:HSVNet step: 1600, loss: 0.156081, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:11.62
model:HSVNet step: 1650, loss: 0.167797, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:11.92
model:HSVNet step: 1700, loss: 0.164213, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:12.21
model:HSVNet step: 1750, loss: 0.241197, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:12.50
model:HSVNet step: 1800, loss: 0.131984, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:12.79
model:HSVNet step: 1850, loss: 0.112863, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:13.09
model:HSVNet step: 1900, loss: 0.143307, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:13.39
model:HSVNet step: 1950, loss: 0.155557, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:13.68
model:HSVNet step: 2000, loss: 0.129464, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:13.97
model:HSVNet step: 2050, loss: 0.137542, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:14.27
model:HSVNet step: 2100, loss: 0.181685, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:14.56
model:HSVNet step: 2150, loss: 0.123317, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:14.86
model:HSVNet step: 2200, loss: 0.154768, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:15.15
model:HSVNet step: 2250, loss: 0.087342, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:15.44
model:HSVNet step: 2300, loss: 0.162990, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:15.73
model:HSVNet step: 2350, loss: 0.152693, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:16.03
model:HSVNet step: 2400, loss: 0.140548, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:16.32
model:HSVNet step: 2450, loss: 0.157958, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:16.61
model:HSVNet step: 2500, loss: 0.104977, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:16.90
model:HSVNet step: 2550, loss: 0.136450, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:17.20
model:HSVNet step: 2600, loss: 0.105727, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:17.49
model:HSVNet step: 2650, loss: 0.206431, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:17.79
model:HSVNet step: 2700, loss: 0.143658, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:18.08
model:HSVNet step: 2750, loss: 0.144827, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:18.37
model:HSVNet step: 2800, loss: 0.210113, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:18.66
model:HSVNet step: 2850, loss: 0.168260, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:18.95
model:HSVNet step: 2900, loss: 0.138078, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:19.23
model:HSVNet step: 2950, loss: 0.108437, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:19.52
model:HSVNet step: 3000, loss: 0.124867, psnr: 13.801094129299635, ssim: 0.603277899980545, minute:19.80
model:HSVNet step: 3050, loss: 0.108817, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:22.17
model:HSVNet step: 3100, loss: 0.189336, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:22.46
model:HSVNet step: 3150, loss: 0.295153, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:22.75
model:HSVNet step: 3200, loss: 0.122166, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:23.03
model:HSVNet step: 3250, loss: 0.135810, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:23.32
