model:HSVNet step: 50, loss: 0.088175, psnr: 0, ssim: 0, minute:0.26
model:HSVNet step: 100, loss: 0.110013, psnr: 0, ssim: 0, minute:0.39
model:HSVNet step: 150, loss: 0.172013, psnr: 0, ssim: 0, minute:0.53
model:HSVNet step: 200, loss: 0.110405, psnr: 0, ssim: 0, minute:0.67
model:HSVNet step: 50, loss: 0.182161, psnr: 0, ssim: 0, minute:0.25
model:HSVNet step: 100, loss: 0.072702, psnr: 0, ssim: 0, minute:0.39
model:HSVNet step: 150, loss: 0.178846, psnr: 0, ssim: 0, minute:0.53
model:HSVNet step: 200, loss: 0.154798, psnr: 0, ssim: 0, minute:0.66
model:HSVNet step: 250, loss: 0.089191, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:0.93
model:HSVNet step: 300, loss: 0.116848, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.07
model:HSVNet step: 350, loss: 0.126591, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.21
model:HSVNet step: 400, loss: 0.139270, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.34
model:HSVNet step: 450, loss: 0.105144, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.48
model:HSVNet step: 500, loss: 0.092188, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.62
model:HSVNet step: 550, loss: 0.080764, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.75
model:HSVNet step: 600, loss: 0.128854, psnr: 15.176767611821214, ssim: 0.26911036372184755, minute:1.89
model:HSVNet step: 50, loss: 0.100612, psnr: 0, ssim: 0, minute:0.25
model:HSVNet step: 100, loss: 0.109969, psnr: 0, ssim: 0, minute:0.39
model:HSVNet step: 150, loss: 0.123369, psnr: 0, ssim: 0, minute:0.53
model:HSVNet step: 200, loss: 0.163849, psnr: 0, ssim: 0, minute:0.66
model:HSVNet step: 250, loss: 0.270200, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:0.89
model:HSVNet step: 300, loss: 0.091039, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.03
model:HSVNet step: 350, loss: 0.209257, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.16
model:HSVNet step: 400, loss: 0.118326, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.29
model:HSVNet step: 450, loss: 0.143429, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.42
model:HSVNet step: 500, loss: 0.146539, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.55
model:HSVNet step: 550, loss: 0.131932, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.68
model:HSVNet step: 600, loss: 0.130916, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.80
model:HSVNet step: 650, loss: 0.210301, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:1.94
model:HSVNet step: 700, loss: 0.227938, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.06
model:HSVNet step: 750, loss: 0.100854, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.18
model:HSVNet step: 800, loss: 0.301474, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.31
model:HSVNet step: 850, loss: 0.140812, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.44
model:HSVNet step: 900, loss: 0.124278, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.57
model:HSVNet step: 950, loss: 0.160460, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.69
model:HSVNet step: 1000, loss: 0.191339, psnr: 14.312441120321367, ssim: 0.207413050532341, minute:2.82
model:HSVNet step: 1050, loss: 0.119676, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:2.97
model:HSVNet step: 1100, loss: 0.142134, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.10
model:HSVNet step: 1150, loss: 0.120386, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.23
model:HSVNet step: 1200, loss: 0.146386, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.35
model:HSVNet step: 1250, loss: 0.147703, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.49
model:HSVNet step: 1300, loss: 0.153815, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.62
model:HSVNet step: 1350, loss: 0.092870, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.75
model:HSVNet step: 1400, loss: 0.083801, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:3.88
model:HSVNet step: 1450, loss: 0.125651, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:4.02
model:HSVNet step: 1500, loss: 0.109479, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:4.15
model:HSVNet step: 1550, loss: 0.093860, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:4.27
model:HSVNet step: 1600, loss: 0.107727, psnr: 14.336173801453063, ssim: 0.28422590494155886, minute:4.40
model:HSVNet step: 1650, loss: 0.128927, psnr: 16.649366116300165, ssim: 0.32994455099105835, minute:4.55
model:HSVNet step: 1700, loss: 0.111228, psnr: 16.649366116300165, ssim: 0.32994455099105835, minute:4.67
model:HSVNet step: 1750, loss: 0.113226, psnr: 16.649366116300165, ssim: 0.32994455099105835, minute:4.80
model:HSVNet step: 1800, loss: 0.150999, psnr: 16.649366116300165, ssim: 0.32994455099105835, minute:4.93
model:HSVNet step: 1850, loss: 0.087781, psnr: 16.883315105245764, ssim: 0.33453167974948883, minute:5.07
model:HSVNet step: 1900, loss: 0.068645, psnr: 16.883315105245764, ssim: 0.33453167974948883, minute:5.20
model:HSVNet step: 1950, loss: 0.134921, psnr: 16.883315105245764, ssim: 0.33453167974948883, minute:5.33
model:HSVNet step: 2000, loss: 0.163577, psnr: 16.883315105245764, ssim: 0.33453167974948883, minute:5.46
model:HSVNet step: 2050, loss: 0.140866, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:5.60
model:HSVNet step: 2100, loss: 0.104444, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:5.73
model:HSVNet step: 2150, loss: 0.095685, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:5.86
model:HSVNet step: 2200, loss: 0.088520, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:5.98
model:HSVNet step: 2250, loss: 0.077527, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.12
model:HSVNet step: 2300, loss: 0.111612, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.25
model:HSVNet step: 2350, loss: 0.101249, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.38
model:HSVNet step: 2400, loss: 0.091273, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.51
model:HSVNet step: 2450, loss: 0.083069, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.65
model:HSVNet step: 2500, loss: 0.094584, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.78
model:HSVNet step: 2550, loss: 0.091792, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.90
model:HSVNet step: 2600, loss: 0.097715, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.03
model:HSVNet step: 2650, loss: 0.130437, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.17
