model:HSVNet step: 50, loss: 0.129027, psnr: 0, ssim: 0, minute:0.39
model:HSVNet step: 100, loss: 0.155390, psnr: 0, ssim: 0, minute:0.63
model:HSVNet step: 150, loss: 0.177763, psnr: 0, ssim: 0, minute:0.86
model:HSVNet step: 200, loss: 0.118938, psnr: 0, ssim: 0, minute:1.09
model:HSVNet step: 250, loss: 0.188704, psnr: 18.055836004233754, ssim: 0.5567285597324372, minute:1.36
model:HSVNet step: 300, loss: 0.118802, psnr: 18.055836004233754, ssim: 0.5567285597324372, minute:1.60
model:HSVNet step: 350, loss: 0.126985, psnr: 18.055836004233754, ssim: 0.5567285597324372, minute:1.83
model:HSVNet step: 400, loss: 0.160417, psnr: 18.055836004233754, ssim: 0.5567285597324372, minute:2.07
model:HSVNet step: 450, loss: 0.118407, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:2.32
model:HSVNet step: 500, loss: 0.106756, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:2.56
model:HSVNet step: 550, loss: 0.081096, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:2.80
model:HSVNet step: 600, loss: 0.140924, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:3.05
model:HSVNet step: 650, loss: 0.125191, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:3.30
model:HSVNet step: 700, loss: 0.115154, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:3.54
model:HSVNet step: 750, loss: 0.102363, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:3.78
model:HSVNet step: 800, loss: 0.078639, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:4.03
model:HSVNet step: 850, loss: 0.129385, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:4.28
model:HSVNet step: 900, loss: 0.096699, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:4.53
model:HSVNet step: 950, loss: 0.106081, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:4.78
model:HSVNet step: 1000, loss: 0.139355, psnr: 18.871407488901465, ssim: 0.5723153591156006, minute:5.03
model:HSVNet step: 1050, loss: 0.128569, psnr: 19.410521703667378, ssim: 0.6759881377220154, minute:5.30
model:HSVNet step: 1100, loss: 0.084112, psnr: 19.410521703667378, ssim: 0.6759881377220154, minute:5.55
model:HSVNet step: 1150, loss: 0.151680, psnr: 19.410521703667378, ssim: 0.6759881377220154, minute:5.80
model:HSVNet step: 1200, loss: 0.179405, psnr: 19.410521703667378, ssim: 0.6759881377220154, minute:6.05
model:HSVNet step: 1250, loss: 0.164952, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:6.31
model:HSVNet step: 1300, loss: 0.124892, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:6.55
model:HSVNet step: 1350, loss: 0.174700, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:6.80
model:HSVNet step: 1400, loss: 0.096290, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:7.05
model:HSVNet step: 1450, loss: 0.122576, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:7.30
model:HSVNet step: 1500, loss: 0.172723, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:7.55
model:HSVNet step: 1550, loss: 0.130076, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:7.80
model:HSVNet step: 1600, loss: 0.134940, psnr: 19.48545503673184, ssim: 0.7015622854232788, minute:8.05
model:HSVNet step: 1650, loss: 0.119663, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:8.31
model:HSVNet step: 1700, loss: 0.087350, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:8.56
model:HSVNet step: 1750, loss: 0.152915, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:8.81
model:HSVNet step: 1800, loss: 0.118820, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:9.05
model:HSVNet step: 1850, loss: 0.071059, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:9.31
model:HSVNet step: 1900, loss: 0.130731, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:9.55
model:HSVNet step: 1950, loss: 0.118186, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:9.80
model:HSVNet step: 2000, loss: 0.146102, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:10.06
model:HSVNet step: 2050, loss: 0.125182, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:10.32
model:HSVNet step: 2100, loss: 0.120831, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:10.57
model:HSVNet step: 2150, loss: 0.121061, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:10.82
model:HSVNet step: 2200, loss: 0.163799, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:11.07
model:HSVNet step: 2250, loss: 0.106787, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:11.32
model:HSVNet step: 2300, loss: 0.093605, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:11.57
model:HSVNet step: 2350, loss: 0.191545, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:11.82
model:HSVNet step: 2400, loss: 0.090408, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:12.07
model:HSVNet step: 2450, loss: 0.147519, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:12.32
model:HSVNet step: 2500, loss: 0.114325, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:12.57
model:HSVNet step: 2550, loss: 0.170465, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:12.81
model:HSVNet step: 2600, loss: 0.091475, psnr: 20.541712244342545, ssim: 0.7034002065658569, minute:13.06
model:HSVNet step: 50, loss: 0.127435, psnr: 0, ssim: 0, minute:0.35
model:HSVNet step: 100, loss: 0.228735, psnr: 0, ssim: 0, minute:0.58
model:HSVNet step: 150, loss: 0.191091, psnr: 0, ssim: 0, minute:0.83
model:HSVNet step: 200, loss: 0.126072, psnr: 0, ssim: 0, minute:1.07
model:HSVNet step: 250, loss: 0.132808, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:1.35
model:HSVNet step: 300, loss: 0.169613, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:1.59
model:HSVNet step: 350, loss: 0.116185, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:1.84
model:HSVNet step: 400, loss: 0.171853, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:2.08
model:HSVNet step: 450, loss: 0.163165, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:2.33
model:HSVNet step: 500, loss: 0.115585, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:2.58
model:HSVNet step: 550, loss: 0.216484, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:2.83
model:HSVNet step: 600, loss: 0.213102, psnr: 17.21767684225285, ssim: 0.5524128913879395, minute:3.08
model:HSVNet step: 650, loss: 0.113203, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:3.34
model:HSVNet step: 700, loss: 0.113715, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:3.59
model:HSVNet step: 750, loss: 0.095233, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:3.83
model:HSVNet step: 800, loss: 0.090699, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:4.08
model:HSVNet step: 850, loss: 0.092867, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:4.33
model:HSVNet step: 900, loss: 0.136428, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:4.58
model:HSVNet step: 950, loss: 0.100013, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:4.82
model:HSVNet step: 1000, loss: 0.122256, psnr: 18.136757648891223, ssim: 0.639468002319336, minute:5.07
model:HSVNet step: 1050, loss: 0.133599, psnr: 18.99951911565217, ssim: 0.65047208070755, minute:5.32
model:HSVNet step: 50, loss: 0.211013, psnr: 0, ssim: 0, minute:0.35
model:HSVNet step: 100, loss: 0.133796, psnr: 0, ssim: 0, minute:0.59
model:HSVNet step: 150, loss: 0.248019, psnr: 0, ssim: 0, minute:0.82
model:HSVNet step: 200, loss: 0.207689, psnr: 0, ssim: 0, minute:1.07
model:HSVNet step: 250, loss: 0.154033, psnr: 17.97779884705787, ssim: 0.4986137092113495, minute:1.38
model:HSVNet step: 300, loss: 0.151468, psnr: 17.97779884705787, ssim: 0.4986137092113495, minute:1.63
model:HSVNet step: 350, loss: 0.097211, psnr: 17.97779884705787, ssim: 0.4986137092113495, minute:1.87
model:HSVNet step: 400, loss: 0.106105, psnr: 17.97779884705787, ssim: 0.4986137092113495, minute:2.12
model:HSVNet step: 450, loss: 0.201226, psnr: 18.68239108887891, ssim: 0.6021694600582123, minute:2.39
model:HSVNet step: 500, loss: 0.120596, psnr: 18.68239108887891, ssim: 0.6021694600582123, minute:2.63
model:HSVNet step: 550, loss: 0.092457, psnr: 18.68239108887891, ssim: 0.6021694600582123, minute:2.88
model:HSVNet step: 600, loss: 0.130881, psnr: 18.68239108887891, ssim: 0.6021694600582123, minute:3.13
model:HSVNet step: 650, loss: 0.194309, psnr: 18.68239108887891, ssim: 0.6021694600582123, minute:3.39
model:HSVNet step: 50, loss: 0.220486, psnr: 0, ssim: 0, minute:0.35
